id,tipo,clasificacion,descripcionresumida,responsable,calle,altura,letra,bis,coordenadax,coordenaday,GEOJSON
83102,Cámara,Domo MR,Provincias Unidas y 27 de Febrero,Mantenimiento de Cámaras,PROVINCIAS UNIDAS                                 ,2588,,0,5433429.41293575,6353519.66492273,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83102, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Provincias Unidas y 27 de Febrero"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PROVINCIAS UNIDAS                                 "", ""altura"": 2588, ""letra"": """", ""bis"": 0, ""coordenadax"": 5433429.412936, ""coordenaday"": 6353519.664923 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.712006, -32.959181 ] } }"
83104,Cámara,Domo MR,Sabin y Oscar Alvarez,Mantenimiento de Cámaras,PACHECO GRAL. ANGEL                               ,201,,0,5435240.37414943,6358858.2028102,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83104, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Sabin y Oscar Alvarez"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PACHECO GRAL. ANGEL                               "", ""altura"": 201, ""letra"": """", ""bis"": 0, ""coordenadax"": 5435240.374149, ""coordenaday"": 6358858.202810 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.692263, -32.911156 ] } }"
83106,Cámara,Domo MR,Provincias Unidas y Mendoza,Mantenimiento de Cámaras,PROVINCIAS UNIDAS,0,,0,5433356.15612494,6355669.84299772,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83106, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Provincias Unidas y Mendoza"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PROVINCIAS UNIDAS"", ""altura"": 0, ""letra"": """", ""bis"": 0, ""coordenadax"": 5433356.156125, ""coordenaday"": 6355669.842998 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.712634, -32.939790 ] } }"
83107,Cámara,Domo MR,Provincias Unidas y Pellegrini,Mantenimiento de Cámaras,PROVINCIAS UNIDAS                                 ,1711,,0,5433417.78126787,6354676.27025422,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83107, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Provincias Unidas y Pellegrini"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PROVINCIAS UNIDAS                                 "", ""altura"": 1711, ""letra"": """", ""bis"": 0, ""coordenadax"": 5433417.781268, ""coordenaday"": 6354676.270254 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.712047, -32.948752 ] } }"
83113,Cámara,Domo MR,Presidente Peron y Felipe More,Mantenimiento de Cámaras,MORE FELIPE                                       ,2609,,0,5435214.73570718,6353570.98841187,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83113, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Presidente Peron y Felipe More"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""MORE FELIPE                                       "", ""altura"": 2609, ""letra"": """", ""bis"": 0, ""coordenadax"": 5435214.735707, ""coordenaday"": 6353570.988412 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.692909, -32.958825 ] } }"
83116,Cámara,Domo MR,Provincias Unidas y Eva Peron,Mantenimiento de Cámaras,PROVINCIAS UNIDAS                                 ,422,,0,5433299.37685387,6356454.52361627,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83116, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Provincias Unidas y Eva Peron"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PROVINCIAS UNIDAS                                 "", ""altura"": 422, ""letra"": """", ""bis"": 0, ""coordenadax"": 5433299.376854, ""coordenaday"": 6356454.523616 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.713184, -32.932712 ] } }"
83118,Cámara,Domo MR,Provincias Unidas y Junin,Mantenimiento de Cámaras,JUNIN                                             ,6687,,0,5433316.97347963,6357011.75009711,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83118, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Provincias Unidas y Junin"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""JUNIN                                             "", ""altura"": 6687, ""letra"": """", ""bis"": 0, ""coordenadax"": 5433316.973480, ""coordenaday"": 6357011.750097 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.712956, -32.927689 ] } }"
83119,Cámara,Domo MR,Oroño y Segui,Mantenimiento de Cámaras,OROÑO NICASIO                                     ,3610,,0,5438138.44893753,6351629.07151902,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83119, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Oroño y Segui"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""OROÑO NICASIO                                     "", ""altura"": 3610, ""letra"": """", ""bis"": 0, ""coordenadax"": 5438138.448938, ""coordenaday"": 6351629.071519 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661771, -32.976504 ] } }"
83121,Cámara,Domo MR,Pellegrini y Presidente Roca (DOMO),Mantenimiento de Cámaras,PELLEGRINI CARLOS                                 ,1585,,0,5439441.47223405,6353886.95720218,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83121, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Pellegrini y Presidente Roca (DOMO)"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PELLEGRINI CARLOS                                 "", ""altura"": 1585, ""letra"": """", ""bis"": 0, ""coordenadax"": 5439441.472234, ""coordenaday"": 6353886.957202 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.647684, -32.956219 ] } }"
83123,Cámara,Domo MR,Paraguay y San Lorenzo,Mantenimiento de Cámaras,SAN LORENZO                                       ,1516,,0,5439840.52791651,6355354.93333979,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83123, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Paraguay y San Lorenzo"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""SAN LORENZO                                       "", ""altura"": 1516, ""letra"": """", ""bis"": 0, ""coordenadax"": 5439840.527917, ""coordenaday"": 6355354.933340 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.643320, -32.943006 ] } }"
83124,Cámara,Domo MR,Alberdi y Juan Jose Paso,Mantenimiento de Cámaras,PASO JUAN JOSE                                    ,1296,,0,5436190.57018709,6357969.37437821,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83124, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Alberdi y Juan Jose Paso"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PASO JUAN JOSE                                    "", ""altura"": 1296, ""letra"": """", ""bis"": 0, ""coordenadax"": 5436190.570187, ""coordenaday"": 6357969.374378 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.682168, -32.919226 ] } }"
83125,Cámara,Domo MR,Galpones Estevez Boero,Mantenimiento de Cámaras,ESTEVEZ BOERO GUILLERMO                           ,816,,0,5440948.17708901,6355329.18460189,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83125, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Galpones Estevez Boero"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""ESTEVEZ BOERO GUILLERMO                           "", ""altura"": 816, ""letra"": """", ""bis"": 0, ""coordenadax"": 5440948.177089, ""coordenaday"": 6355329.184602 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.631478, -32.943298 ] } }"
83127,Cámara,Domo MR,Rambla Florida,Mantenimiento de Cámaras,CARRASCO EUDORO                                   ,2674,,0,5435741.87483433,6361488.79896944,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83127, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Rambla Florida"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""CARRASCO EUDORO                                   "", ""altura"": 2674, ""letra"": """", ""bis"": 0, ""coordenadax"": 5435741.874834, ""coordenaday"": 6361488.798969 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.686719, -32.887468 ] } }"
83128,Cámara,Domo MR,Eva Peron y Donado,Mantenimiento de Cámaras,PERON EVA                                         ,7709,,0,5431954.55885201,6356706.0770734,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83128, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Eva Peron y Donado"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PERON EVA                                         "", ""altura"": 7709, ""letra"": """", ""bis"": 0, ""coordenadax"": 5431954.558852, ""coordenaday"": 6356706.077073 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.727544, -32.930361 ] } }"
83130,Cámara,Domo MR,Salta y Oroño,Mantenimiento de Cámaras,SALTA,0,,0,5439088.83464236,6356049.32910753,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83130, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Salta y Oroño"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""SALTA"", ""altura"": 0, ""letra"": """", ""bis"": 0, ""coordenadax"": 5439088.834642, ""coordenaday"": 6356049.329108 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.651312, -32.936703 ] } }"
83133,Cámara,Domo MR,Madre Plaza de Mayo 300,Mantenimiento de Cámaras,MADRES DE PLAZA 25 DE MAYO                        ,2837,,0,5438390.40314821,6357009.7120759,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83133, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Madre Plaza de Mayo 300"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""MADRES DE PLAZA 25 DE MAYO                        "", ""altura"": 2837, ""letra"": """", ""bis"": 0, ""coordenadax"": 5438390.403148, ""coordenaday"": 6357009.712076 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.658716, -32.928005 ] } }"
83137,Cámara,Domo MR,Barrancas Parque España,Mantenimiento de Cámaras,ILLIA PTE. ARTURO U.                              ,1194,,0,5440438.99494622,6355934.00647775,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83137, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Barrancas Parque España"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""ILLIA PTE. ARTURO U.                              "", ""altura"": 1194, ""letra"": """", ""bis"": 0, ""coordenadax"": 5440438.994946, ""coordenaday"": 6355934.006478 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.636883, -32.937817 ] } }"
83142,Cámara,Domo MR,Mendoza y Avellaneda (DOMO),Mantenimiento de Cámaras,AVELLANEDA NICOLAS                                ,1211,,0,5436390.71627742,6355183.58992229,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83142, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Mendoza y Avellaneda (DOMO)"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""AVELLANEDA NICOLAS                                "", ""altura"": 1211, ""letra"": """", ""bis"": 0, ""coordenadax"": 5436390.716277, ""coordenaday"": 6355183.589922 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.680221, -32.944355 ] } }"
83144,Cámara,Domo MR,Warnes y Herrera,Mantenimiento de Cámaras,WARNES IGNACIO                                    ,1942,,0,5435109.67631183,6360622.88589533,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83144, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Warnes y Herrera"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""WARNES IGNACIO                                    "", ""altura"": 1942, ""letra"": """", ""bis"": 0, ""coordenadax"": 5435109.676312, ""coordenaday"": 6360622.885895 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.693536, -32.895238 ] } }"
83391,Cámara,Domo MR,Pellegrini y Laprida,Mantenimiento de Cámaras,PELLEGRINI CARLOS                                 ,787,,0,5440457.32631506,6353675.15149006,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83391, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Pellegrini y Laprida"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PELLEGRINI CARLOS                                 "", ""altura"": 787, ""letra"": """", ""bis"": 0, ""coordenadax"": 5440457.326315, ""coordenaday"": 6353675.151490 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.636833, -32.958185 ] } }"
83394,Cámara,Domo MR,Francia y 27 de Febrero,Mantenimiento de Cámaras,FRANCIA,0,,0,5437279.5,6353154.7025,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83394, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Francia y 27 de Febrero"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""FRANCIA"", ""altura"": 0, ""letra"": """", ""bis"": 0, ""coordenadax"": 5437279.500000, ""coordenaday"": 6353154.702500 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.670855, -32.962699 ] } }"
83129,Cámara,Domo MR,VEINTISIETE DE FEBRERO y MORENO MARIANO,Mantenimiento de Cámaras,VEINTISIETE DE FEBRERO,0,,0,5438679.23,6352867.015,"{ ""type"": ""Feature"", ""properties"": { ""id"": 83129, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""VEINTISIETE DE FEBRERO y MORENO MARIANO"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""VEINTISIETE DE FEBRERO"", ""altura"": 0, ""letra"": """", ""bis"": 0, ""coordenadax"": 5438679.230000, ""coordenaday"": 6352867.015000 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.655903, -32.965373 ] } }"
103241,Cámara,Domo MR,Eva Perón y Rouillón,Mantenimiento de Cámaras,PERON EVA                                         ,5835,,0,5434264.91092298,6356227.80550716,"{ ""type"": ""Feature"", ""properties"": { ""id"": 103241, ""tipo"": ""Cámara"", ""clasificacion"": ""Domo MR"", ""descripcionresumida"": ""Eva Perón y Rouillón"", ""responsable"": ""Mantenimiento de Cámaras"", ""calle"": ""PERON EVA                                         "", ""altura"": 5835, ""letra"": """", ""bis"": 0, ""coordenadax"": 5434264.910923, ""coordenaday"": 6356227.805507 }, ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.702877, -32.934814 ] } }"
