Año;Mes de choque;Rango horario;Cantidad de lesionados;Lugar del accidente;Coordenada X;Coordenada Y
2016;FEBRERO;0 a 5:59;1;AVELLANEDA Y CORDOBA;5436490,11;6355769,82
2016;Junio;0 a 5:59;1;GARIBALDI Y MITRE;5439293,43;6350615,56
2016;Abril;0 a 5:59;1;RODRIGUEZ Y CATAMARCA;5438533,36;6356021,62
2016;Agosto;0 a 5:59;1;ALSINA Y SEGUI;5435996,94;6352091,41
2016;Agosto;0 a 5:59;1;GALVEZ Y SARMIENTO;5439815,91;6352499,57
2016;Diciembre;0 a 5:59;1;MARTINEZ ESTRADA Y SANCHEZ DE LORIA;5431432,08;6358823,28
2016;Septiembre;0 a 5:59;1;BAHIA BLANCA Y VELEZ SARSFIELD;5435583,38;6357301,53
2016;Diciembre;0 a 5:59;1;ALBERDI Y JOSE INGENIEROS;5435941,45;6358297,31
2016;marzo;0 a 5:59;1;25 DE MAYO Y OVIDIO LAGOS;5436741,952;6348141,684
2016;Septiembre;0 a 5:59;1;MEJICO Y TUCUMAN;5432773,58;6356452,22
2016;Octubre;0 a 5:59;1;MORENO Y SAN JUAN;5439077,14;6354804,28
2016;Diciembre;0 a 5:59;1;PERU Y PTE PERON;5433593,61;6352616,59
2016;Diciembre;0 a 5:59;1;MORENO Y VIAMONTE;5438731,6;6353121,32
2016;Noviembre;0 a 5:59;1;PUEYRREDON Y SEGUI;5437780,02;6351723,59
2016;Enero;0 a 5:59;1;525 Y BERMUDES;5440008,71;6347463,51
2016;Julio;0 a 5:59;1;ARIJON 1637;5438632,04;6348646,02
2016;Junio;0 a 5:59;1;GARAY Y ROUILLON;5434439,84;6352769,89
2016;Septiembre;0 a 5:59;2;MENDOZA Y PROVINCIAS UNIDAS;5433358,09;6355622,41
2016;Diciembre;0 a 5:59;1;DONADO Y LA REPUBLICA;5431906,15;6357966,54
2016;Septiembre;0 a 5:59;1;MORENO 1148;5439047,34;6354733,47
2016;Noviembre;0 a 5:59;1;25 DE MAYO Y PTE PERON;5432977,96;6352241,67
2016;marzo;0 a 5:59;1;AYACUCHO Y URIBURU;5440470,744;6350106,086
2016;marzo;0 a 5:59;1;MITRE Y ZEBALLOS;5439999,7;6354053,8
2016;Noviembre;0 a 5:59;1;CULLEN Y MONTEVIDEO;5433721,44;6354833,93
2016;Noviembre;0 a 5:59;1;PROVINCIAS UNIDAS Y SANTA FE;5433332,55;6356123,85
2016;Noviembre;0 a 5:59;1;FELIPE MORE Y PTE PERON;5435203,41;6353587,33
2016;Agosto;0 a 5:59;1;PTE ROCA Y TUCUMAN;5439778,9;6355628,07
2016;FEBRERO;0 a 5:59;1;URQUIZA Y VERA MUJICA;5437715,99;6355917,52
2016;marzo;0 a 5:59;1;27 DE FEBRERO Y SOLIS;5434307,08;6353533,475
2016;Enero;0 a 5:59;2;BUENOS AIRES Y SEGUI;5440091,35;6351248,73
2016;Noviembre;0 a 5:59;1;BLAS PARERA Y UNION;5434452,65;6359865,39
2016;Noviembre;0 a 5:59;1;LARREA Y MENDOZA;5434798,84;6355523,13
2016;Noviembre;0 a 5:59;1;BALCARCE Y SALTA;5439194,93;6356019,63
2016;Enero;0 a 5:59;1;27 DE FEBRERO Y SARMIENTO;5439842,42;6352627,815
2016;FEBRERO;0 a 5:59;1;NICARAGUA Y RIOBAMBA;5432671,36;6354007,71
2016;Junio;0 a 5:59;1;BATLLE ORDOÑEZ Y MELINCUE;5439485,44;6348044,44
2016;Septiembre;0 a 5:59;1;EVA PERON Y ROUILLON;5434301,31;6356220,74
2016;Julio;0 a 5:59;2;BARRA Y MONTEVIDEO;5433935,7;6354842,29
2016;marzo;0 a 5:59;1;9 DE JULIO Y MAIPU;5440419,22;6354097,01
2016;Abril;0 a 5:59;1;CERRITO Y FRAGA;5433638,76;6354177,79
2016;marzo;0 a 5:59;1;VELEZ SARSFIELD 1500;5435942,383;6357331,241
2016;Septiembre;0 a 5:59;1;OVIDIO LAGOS Y URQUIZA;5438225,07;6355812,51
2016;FEBRERO;0 a 5:59;1;BATTLE ORDONEZ Y BUENOS AIRES;5439759,25;6348055,34
2016;Noviembre;0 a 5:59;1;LA REPUBLICA Y PROVINCIAS UNIDAS;5433239,42;6358021,39
2016;Agosto;0 a 5:59;1;HILARION DE LA QUINTANA Y ITALIA;5438397,18;6348875,97
2016;Septiembre;0 a 5:59;2;AVELLANEDA Y SABIN;5436721,2;6356903,32
2016;Junio;0 a 5:59;1;CAFFERATA Y CORDOBA;5437254,84;6355611,96
2016;Noviembre;0 a 5:59;1;CALDERON Y ROBLES;5431557,74;6362272,95
2016;Octubre;0 a 5:59;1;GUEMES Y OROÑO;5439147,12;6356433,62
2016;Abril;0 a 5:59;1;ESMERALDA Y VIAMONTE;5441458,93;6352560,46
2016;Septiembre;0 a 5:59;1;FRANKLIN Y GARZON;5433936,44;6358131,53
2016;Noviembre;0 a 5:59;1;25 DE MAYO Y URIBURU;5434425,19;6349866,32
2016;Diciembre;0 a 5:59;1;25 DE MAYO Y JORGE NEWBERY;5432107,5;6359164,94
2016;marzo;0 a 5:59;1;AMENABAR Y SARMIENTO;5439737,27;6352117,72
2016;Abril;0 a 5:59;1;J BERNHEIM 8391;5430595.360020099;6356068.733985657
2016;Junio;0 a 5:59;1;E ZEBALLOS Y RODRIGUEZ;5438203,33;6354423,07
